Please provide hourly results in ug/m3 of PM 10 monitoring conducted in Dublin City in a tabular format by completing the table below. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Please provide a flag number (see comment for list) for the data entered if possible. The comment field is optional.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
If any new stations have been added to the network please give details (scroll across). ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Please indicate if any of the stations listed below have been reomved from the network.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dublin City Council,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Site,Marino,,,Coleraine St.,,,Phoenix Park,,,Wood Quay (Winetavern St.),,,Rathmines,,,Ballyfermot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,PM2.5(µg m-3),Flag,Comment ,PM2.5 (µg m-3),Flag,Comment ,PM10 (µg m-3),Flag,Comment ,PM10 (µg m-3),Flag,Comment ,PM10 (µg m-3),Flag,Comment ,PM10 (µg m-3),Flag,Comment ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-Jan-11,48.7,1,,11.4,1,,4.7,1,,11.1,1,,14.6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-Jan-11,6.9,1,,6.5,1,,5.3,1,,11.0,1,,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-Jan-11,9.7,1,,12.6,1,,6.8,1,,36.3,1,,15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-Jan-11,3.5,1,,9.3,1,,8.5,1,,14.6,1,,11,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-Jan-11,2.2,1,,2.8,1,,3.9,1,,7.2,1,,5.3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16-Jan-11,6.7,1,,5.69,1,,12.5,1,,15.6,1,,18.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-Jan-11,15.8,1,,18.6,1,,15.7,1,,29.4,1,,30.8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-Jan-11,17.9,1,,16.4,1,,14.6,1,,22.5,1,,24.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-Jan-11,27.6,1,,50.8,1,,41.5,1,,55.0,1,,58.8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-Jan-11,67.8,1,,86.5,1,,58.5,1,,96.9,1,,64.6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21-Jan-11,56.0,1,,54.7,1,,48.2,1,,58.3,1,,68.2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-Jan-11,41.2,1,,41.7,1,,37.1,1,,45.1,1,,40.6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23-Jan-11,27.2,1,,29.2,1,,16.5,1,,27.8,1,,32.6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-Jan-11,15.7,1,,17.4,1,,14.7,1,,17.1,1,,17.4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-Jan-11,8.3,1,,6.4,1,,10.6,1,,11.0,1,,15.6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26-Jan-11,4.2,1,,8.6,1,,11.7,1,,15.7,1,,20.7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27-Jan-11,4.4,1,,7.9,1,,13.2,1,,16.3,1,,15.8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28-Jan-11,10.6,1,,17.4,1,,17.2,1,,21.7,1,,21.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29-Jan-11,12.5,1,,15.3,1,,17.4,1,,19.2,1,,22.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30-Jan-11,28.5,1,,32.4,1,,29.2,1,,32.4,1,,36.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31-Jan-11,26.5,1,,33.6,1,,13.5,1,,34.0,1,,29.2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-Feb-11,9.2,1,,9.2,1,,14.3,1,,17.5,1,,16.4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-Feb-11,2.8,1,,2.9,1,,,5,,9.3,1,,10.3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-Feb-11,3.3,1,,13.1,1,,,5,,12.4,1,,10.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-Feb-11,4.2,1,,11.2,1,,,5,,12.2,1,,10.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05-Feb-11,7.6,1,,19.3,1,,,5,,11.1,1,,12.2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-Feb-11,5.6,1,,13.4,1,,,5,,10.4,1,,8.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-Feb-11,6.0,1,,29.9,1,,,5,,10.6,1,,10.4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08-Feb-11,7.2,1,,,5,,,5,,14.2,1,,12.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09-Feb-11,10.3,1,,48.1,1,,9.1,1,,9.7,1,,9.9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-Feb-11,8.3,1,,9.2,1,,19.8,1,,13.6,1,,19.6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-Feb-11,7.9,1,,12.3,1,,19.3,1,,13.5,1,,12.8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-Feb-11,6.4,1,,13.8,1,,12.9,1,,19.3,1,,15.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-Feb-11,8.7,1,,14.9,1,,21.3,1,,17.1,1,,21.4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-Feb-11,6.1,1,,10.5,1,,8.6,1,,12.1,1,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-Feb-11,5.4,1,,6.5,1,,19.1,1,,10.4,1,,11.8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16-Feb-11,4.7,1,,11,1,,13.6,1,,17.5,1,,19.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-Feb-11,10.6,1,,76,1,,18.5,1,,20.8,1,,26.6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-Feb-11,,5,,7.9,1,,29.4,1,,33.2,1,,41.7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-Feb-11,8.5,1,,16.3,1,,18.1,1,,14.4,1,,25.8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-Feb-11,7.6,1,,8.3,1,,15.6,1,,13.1,1,,16.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21-Feb-11,14.6,1,,17.9,1,,14.8,1,,16.8,1,,18.7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-Feb-11,11.2,1,,16.6,1,,12.0,1,,21.7,1,,22.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23-Feb-11,7.4,1,,14.5,1,,13.0,1,,12.9,1,,12,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-Feb-11,10.1,1,,9.0,1,,22.3,1,,18.1,1,,15.6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-Feb-11,8.3,1,,7.1,1,,13.4,1,,14.0,1,,12.4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26-Feb-11,7.2,1,,7.7,1,,7.0,1,,12.4,1,,16.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27-Feb-11,7.5,1,,9.7,1,,14.5,1,,13.3,1,,17.2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28-Feb-11,14.7,1,,12.9,1,,24.7,1,,19.9,1,,32.8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-Mar-11,20.4,1,,26.8,1,,29.8,1,,35.1,1,,38.2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-Mar-11,30.4,1,,39.3,1,,41.4,1,,49.6,1,,55.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-Mar-11,37.9,1,,54.9,1,,43.9,1,,53.8,1,,53.9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-Mar-11,37.6,1,,38.9,1,,46.2,1,,45.7,1,,58.2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05-Mar-11,31.0,1,,32.8,1,,36.1,1,,36.1,1,,42.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-Mar-11,11.1,1,,14.6,1,,23.5,1,,19.6,1,,32.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-Mar-11,21.9,1,,32.6,1,,32.8,1,,37.8,1,,49.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08-Mar-11,16.9,1,,20.0,1,,23.2,1,,26.9,1,,27.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09-Mar-11,4.0,1,,10.2,1,,11.7,1,,14.0,1,,17.8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-Mar-11,6.7,1,,8.4,1,,12.4,1,,12.4,1,,17.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-Mar-11,6.7,1,,9.4,1,,10.0,1,,20.6,1,,20.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-Mar-11,5.1,1,,10.5,1,,9.6,1,,7.8,1,,12.8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-Mar-11,3.9,1,,18.5,1,,6.7,1,,9.0,1,,7.9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-Mar-11,6.3,1,,13.3,1,,12.6,1,,13.9,1,,18.7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-Mar-11,20.7,1,,34.3,1,,26.3,1,,,6,,45.8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16-Mar-11,26.7,1,,40.4,1,,30.6,1,,,6,,41.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-Mar-11,12.1,1,,16.0,1,,17.7,1,,18.9,1,,21.2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-Mar-11,12.6,1,,17.2,1,,20.2,1,,23.6,1,,19.2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-Mar-11,8.6,1,,9.9,1,,10.8,1,,14.7,1,,12.3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-Mar-11,5.4,1,,7.5,1,,5.5,1,,10.3,1,,7.8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21-Mar-11,5.4,1,,7.8,1,,8.6,1,,11.4,1,,8.6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-Mar-11,6.9,1,,14.4,1,,16.5,1,,22.1,1,,19.3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23-Mar-11,15.6,1,,27.1,1,,35.5,1,,44.4,1,,38.6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-Mar-11,,6,,31.7,1,,32.1,1,,40.4,1,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-Mar-11,16.4,1,,19.8,1,,24.5,1,,24.4,1,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26-Mar-11,17.8,1,,23.8,1,,29.9,1,,31.5,1,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27-Mar-11,32.1,1,,34.6,1,,45.1,1,,38.2,1,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28-Mar-11,12.4,1,,25.2,1,,26.5,1,,26.1,1,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29-Mar-11,32.5,1,,38.2,1,,40.2,1,,40.3,1,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30-Mar-11,8.9,1,,9.0,1,,14.5,1,,20.3,1,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31-Mar-11,6.5,1,,8.5,1,,10.5,1,,13.9,1,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-Apr-11,6.0,1,,7.7,1,,10.2,1,,9.9,1,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-Apr-11,2.6,1,,6.7,1,,7.3,1,,4.3,1,,9.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-Apr-11,5.6,1,,5.6,1,,9.0,1,,9.0,1,,10.9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-Apr-11,4.6,1,,9.5,1,,11.3,1,,8.9,1,,7.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05-Apr-11,3.9,1,,3.6,1,,4.6,1,,2.9,1,,4.6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-Apr-11,1.1,1,,8.2,1,,9.0,1,,7.4,1,,15.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-Apr-11,9.6,1,,15.4,1,,6.6,1,,10.3,1,,14.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08-Apr-11,13.8,1,,10.9,1,,16.9,1,,17.8,1,,24.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09-Apr-11,12.4,1,,20.4,1,,26.4,1,,19.9,1,,31.3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-Apr-11,19.3,1,,27.0,1,,27.3,1,,27.8,1,,35.4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-Apr-11,6.3,1,,6.2,1,,9.4,1,,7.6,1,,11.4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-Apr-11,4.7,1,,6.7,1,,10.5,1,,10.8,1,,12.9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-Apr-11,7.6,1,,9.2,1,,7.7,1,,8.3,1,,9.3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-Apr-11,9.7,1,,11.1,1,,10.0,1,,12.8,1,,14.3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-Apr-11,9.0,1,,10.0,1,,10.6,1,,14.6,1,,18.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16-Apr-11,6.1,1,,7.8,1,,8.0,1,,13.3,1,,13.8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-Apr-11,10.7,1,,13.0,1,,12.4,1,,14.0,1,,13.9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-Apr-11,13.9,1,,22.0,1,,22.6,1,,21.3,1,,25.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-Apr-11,41.1,1,,51.7,1,,47.1,1,,55.1,1,,59.8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-Apr-11,,5,,57.9,1,,59.6,1,,60.8,1,,67.3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21-Apr-11,42.5,1,,58.6,1,,66.3,1,,65.3,1,,80.2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-Apr-11,23.2,1,,38.9,1,,35.6,1,,45.1,1,,46.4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23-Apr-11,no data,3,,6.9,1,,8.5,1,,9.3,1,,14.6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-Apr-11,no data,3,,17.9,1,,8.0,1,,11.2,1,,12.9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-Apr-11,no data,3,,4.1,1,,15.8,1,,13.7,1,,18.6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26-Apr-11,no data,3,,7.9,1,,15.6,1,,14.4,1,,21.4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27-Apr-11,no data,3,,8.5,1,,18.8,1,,23.2,1,,27.9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28-Apr-11,no data,3,,23.3,1,,21.1,1,,21.1,1,,29.2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29-Apr-11,10.4,1,,19.0,1,,21.9,1,,26.9,1,,35.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30-Apr-11,6.1,1,,11.6,1,,24.4,1,,28.5,1,,35.6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-May-11,2.6,1,,7.0,1,,25.9,1,,24.6,1,,34.4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-May-11,no data,3,,9.7,1,,29.4,1,,20.1,1,,26.2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-May-11,2.5,1,,5.9,1,,14.7,1,,15.4,1,,21.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-May-11,7.6,1,,13.1,1,,18.3,1,,20.7,1,,26.6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05-May-11,7.1,1,,9.0,1,,8.9,1,,17.5,1,,19.7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-May-11,8.3,1,,1.3,1,,7.4,1,,10.6,1,,11.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-May-11,11.3,1,,11.5,1,,13.0,1,,17.5,1,,21.3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08-May-11,32.4,1,,,,,10.1,1,,12.8,1,,14.8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09-May-11,2.1,1,,,,,9.6,1,,11.5,1,,15.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-May-11,3.7,1,,,,,5.6,1,,16.8,1,,12.2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-May-11,2.8,1,,,,,7.9,1,,,5,,9.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-May-11,1.9,1,,,,,6.5,1,,,5,,12.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-May-11,no data,3,,,,,4.2,1,,,5,,6.4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-May-11,,,,,,,6.0,1,,,5,,9.6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-May-11,,,,,,,10.2,1,,8.9,1,,11.6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16-May-11,,,,,,,12.3,1,,12.9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-May-11,,,,,,,3.2,1,,3.6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-May-11,,,,,,,10.1,1,,10.8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-May-11,,,,,,,9.5,1,,11.2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-May-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21-May-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-May-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23-May-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-May-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-May-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26-May-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27-May-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28-May-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29-May-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30-May-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31-May-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-Jun-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-Jun-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-Jun-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-Jun-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05-Jun-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-Jun-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-Jun-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08-Jun-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09-Jun-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-Jun-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-Jun-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-Jun-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-Jun-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-Jun-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-Jun-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16-Jun-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-Jun-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-Jun-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-Jun-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-Jun-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21-Jun-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
